7 15.0 1650 1000 15824 BB'
Streamlined uplands,linear,,#e79a64,39
0.0 -3287.157263053889
17808.70803848214 -3251.9825291352763
18426.3510918399 -2036.421051549862
22852.792974237196 -2520.823578034864
22955.733483130156 -3320.5988136208543
23573.37653648792 -3381.082468533339
24293.96009873864 -3400.591891389019
24705.722134310483 -3368.883524173696
25220.42467877528 -3296.2009249015696
25323.36518766824 -3106.4284580462886
26352.770276597847 -1392.0323695285288
27793.93740109929 -2292.632213551482
28823.342490028896 -3092.974066771667
29235.516287636307 -3326.587184303778
29852.747578958497 -3371.6888369704284
30573.33114120922 -3396.3033736086763
31396.855212352904 -3382.9406410689994
32220.379283496586 -3349.0907925009205
32323.319792389546 -3097.007051109146
32323.319792389546 -1654.231902213071
55381.99378441266 -2423.7319798937533
58058.44701562963 -3307.4221760884916
58779.03057788035 -3364.8533173736414
59911.37617570291 -3381.310226601987
61043.5158925077 -3367.0364617877294
61764.305335776204 -3311.788464916668
61867.24584466916 -2814.131529851471
63926.05602252837 -3003.6817937129535
64028.99653142133 -3289.645936584455
64543.69907588613 -3387.0375087671955
65573.10416481574 -3412.72417485053
66396.62823595942 -3368.0558180217918
67323.09281599606 -3282.41322913625
67426.03332488902 -2489.7151589028
72058.56210609003 -2841.473608238618
72161.2967339652 -3105.367438750888
72984.82080510887 -3307.799921177953
74117.57816496702 -3344.7078384482093
102837.56838406737 -3336.6418697732506
Highland,linear,,#e2c000,3
0.0 -1442.0323695285288
4014.6798468254533 -1465.9170281646298
10911.693942653796 -3280.7578168324367
Channel bed, smooth,linear,,#3d83e0,7
0.0 -3168.3008816700244
17808.70803848214 -3173.4226606771254
21720.44737641463 -2423.054260762662
76175.97658079065 -3163.856821794015
80500.09559734837 -3166.07885173202
81323.00202543866 -3197.9205407436257
102837.56838406737 -3188.7879976984277
Upper channel bed, smooth,linear,,#7741eb,1
75558.33352743289 -2972.0067569466955
Upper channel bed, rugged,linear,**,#7741eb,1
73808.34487625257 -1442.0323695285288
Upper channel bed, strongly  eroded,linear,xx,#7741eb,1
5352.906462433937 -2920.7889668756916
Mass wasting,linear,,#e4ed60,1
0.0 -1442.0323695285288
0.0 -1595.2773433040697
13.000000000002647 -1592.273123481814
26.000000000016158 -1591.100926817418
39.0000000000188 -1589.5465045483165
52.000000000032315 -1585.3412836002137
65.00000000003496 -1579.3688524703573
78.00000000004847 -1571.3010993781131
91.00000000005112 -1569.4235066385907
104.00000000006463 -1567.7263635970812
117.00000000006727 -1563.613226637921
129.99999999992593 -1560.35829190516
142.99999999992858 -1560.4782240891705
155.99999999994208 -1559.8883569387276
168.99999999994472 -1559.5334481007671
181.99999999995822 -1559.8278245363772
194.99999999996086 -1559.2050379310754
207.99999999997436 -1558.5785461407545
220.999999999977 -1558.5711419996667
233.9999999999905 -1558.3989949749612
246.99999999999315 -1558.3165528827526
260.00000000000665 -1558.650291094635
273.0000000000093 -1557.9374037673895
286.00000000002285 -1557.3747631355018
299.0000000000255 -1558.1827313811905
312.00000000003905 -1559.6882371557667
325.0000000000417 -1560.9267450000766
338.00000000005525 -1560.1646816526124
351.0000000000579 -1560.7399119319305
364.00000000007145 -1570.9207233529823
377.0000000000741 -1562.378583204024
389.9999999999328 -1562.325093120642
402.9999999999355 -1560.2109254753186
415.999999999949 -1557.5856039327982
428.9999999999517 -1556.86214267536
441.99999999995435 -1556.4931441176075
454.9999999999679 -1556.5506155892149
467.99999999997056 -1557.0229830323951
480.9999999999841 -1557.6541290393093
493.99999999998676 -1558.158548336556
507.0000000000003 -1558.1473854924454
520.000000000003 -1557.6083948058147
533.0000000000165 -1557.899716753064
546.0000000000191 -1558.4764479883966
559.0000000000326 -1558.048424371146
572.0000000000352 -1556.8263991159893
585.0000000000488 -1558.8833898862492
598.0000000000514 -1553.8020517026366
